Black Best-Sellers,,,,,,,,,,
,,,,,,,,,,
Created On : 09/27/2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Sales data from the years 2004 - September, 2021",,,,,,,,,,
,,,,,,,,,,
 ISBN , Title ,Type, Author ,Gender, Publisher , Format , Publication Date , Imprint , RTD Sales , YTD Sales 
9780062693983,"We're Going to Need More Wine: Stories That Are Funny, Complicated, and True",Non-fiction,Gabrielle Union,Female,Harpercollins Publishers,Hardcover,2017-10-17,Dey Street Books,"130,964",435
9780345806567,Giovanni's Room,Fiction,James Baldwin,Male,Random House,Trade Paperback,2013-09-12,Vintage,"129,751","18,914"
9780439023450,Elijah of Buxton (Scholastic Gold),Fiction,Christopher Paul Curtis,Male,Scholastic Books,Mass Market Paperback,2009-02-01,Scholastic Paperbacks,"128,960","4,591"
9780670022045,Getting to Happy,Fiction,Terry Mcmillan,Female,Penguin Group Usa,Hardcover,2010-09-07,Viking,"128,028",1
9780525560739,The Truths We Hold: an American Journey,Non-fiction,Kamala Harris,Female,Penguin Group Usa,Trade Paperback,2020-08-04,Penguin,"127,333","32,904"
9780684859972,Until Today!: Daily Devotions For Spiritual Growth and Peace of Mind,Non-fiction,Iyanla Vanzant,Female,Simon & Schuster,Trade Paperback,2001-08-14,Atria Books,"127,106","7,266"
9781556520747,Assata: an Autobiography,Non-fiction,Assata Shakur,Female,Independent Publ Group,Trade Paperback,1999-11-01,Chicago Review Press,"126,741","15,082"
9781451617139,Pimp: the Story of My Life,Non-fiction,Iceberg Slim,Male,Simon & Schuster,Trade Paperback,2011-05-10,Cash Money Content,"125,627","12,415"
9780062662804,The Poet X,Fiction,Elizabeth Acevedo,Female,Harpercollins Publishers,Hardcover,2018-03-06,Quill Tree Books,"123,378","5,154"
9781594633942,A Brief History of Seven Killings,Fiction,Marlon James,Male,Penguin Group Usa,Trade Paperback,2015-09-08,Riverhead Books,"121,831","3,098"
9780307275936,If Beale Street Could Talk,Fiction,James Baldwin,Male,Random House,Trade Paperback,2006-10-10,Vintage,"120,312","12,484"
9780525658184,Transcendent Kingdom,Fiction,Yaa Gyasi,Female,Random House,Hardcover,2020-09-01,Knopf Publishing Group,"119,973","29,120"
9780525509561,The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,Non-fiction,Heather Mcghee,Female,Random House,Hardcover,2021-02-16,One World,"118,968","118,968"
9781501145308,Black Privilege: Opportunity Comes to Those Who Create It,Non-fiction,Charlamagne Tha God,Male,Simon & Schuster,Hardcover,2017-04-18,Atria Books,"117,627","1,221"
9780062885500,Class Act,Fiction,Jerry Craft,Male,Harpercollins Publishers,Trade Paperback,2020-10-06,Quill Tree Books,"116,395","63,395"
9780486419312,Incidents In the Life of a Slave Girl,Non-fiction,Harriet Jacobs,Female,Dover Publications Inc,Trade Paperback,2001-11-09,Dover Publications,"115,140","8,994"
9780802141323,The Wretched of the Earth,Non-fiction,Frantz Fanon,Male,Pgw,Trade Paperback,2005-03-01,Grove Press,"115,060","11,761"
9780743284004,Driven from Within,Non-fiction,Michael Jordan,Male,Simon & Schuster,Hardcover,2005-10-24,Atria Books,"115,054",0
9781632864130,White Rage: the Unspoken Truth of Our Racial Divide,Non-fiction,Carol Anderson,Female,Macmillan,Trade Paperback,2017-09-05,Bloomsbury Usa,"114,986","14,671"
9780802156983,"Girl, Woman, Other: a Novel (Booker Prize Winner)",Fiction,Bernardine Evaristo,Female,Pgw,Trade Paperback,2019-11-05,"Grove Press, Black Cat","114,916","23,525"
9780544570986,Booked,Poetry,Kwame Alexander,Male,Houghton Mifflin Co,Hardcover,2016-04-05,Clarion Books,"114,452",993
9780684843261,For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf,Poetry,Ntozake Shange,Female,Simon & Schuster,Trade Paperback,1997-09-01,Scribner Book Company,"113,029","3,046"
9780393350388,Death By Black Hole: and Other Cosmic Quandaries,Non-fiction,Neil Degrasse Tyson,Male,"Norton,ww",Trade Paperback,2014-09-02,W. W. Norton & Company,"112,454","3,798"
9780399231162,The Other Side,Fiction,Jacqueline Woodson,Female,Penguin Group Usa,Hardcover,2001-01-15,G.P. Putnam's Sons Books For Young Readers,"111,708","8,389"
9781681191072,Piecing Me Together,Fiction,Renée Watson,Female,Macmillan,Trade Paperback,2018-06-05,Bloomsbury Ya,"110,936","23,090"
9780525575320,Begin Again: James Baldwin's America and Its Urgent Lessons For Our Own,Non-fiction,Eddie S. Glaude,Male,Random House,Hardcover,2020-06-30,Crown,"110,905","17,674"
9780593110508,Antiracist Baby Picture Book,Non-fiction,Ibram X. Kendi,Male,Penguin Group Usa,Hardcover,2020-07-14,Kokila,"110,786","33,798"
9780553255768,"Poems: Just Give Me a Cool Drink of Water 'fore I Diiie/Oh Pray My Wings Are Gonna Fit Me Well/And Still I Rise/Shaker, Why D",Fiction,Maya Angelou,Female,Random House,Mass Market Paperback,1996-01-01,Bantam,"110,429","3,987"
9781302900533,"Black Panther, Book 1: a Nation Under Our Feet",Fiction,Ta-Nehisi Coates,Male,Hachette Book Group,Trade Paperback,2016-09-13,Marvel,"109,126","4,775"
9780590486682,Slam!,Fiction,Walter Dean Myers,Male,Scholastic Books,Mass Market Paperback,1998-10-28,Scholastic,"108,082",0
9781250214805,Lead from the Outside: How to Build Your Future and Make Real Change,Non-fiction,Stacey Abrams,Female,Macmillan,Trade Paperback,2019-03-26,Picador Usa,"106,870","36,966"
9781849352604,"Emergent Strategy: Shaping Change, Changing Worlds",Non-fiction,Adrienne Maree Brown,Female,Consortium Book Sales,Trade Paperback,2017-04-18,Ak Press,"106,867","18,008"
9780316229265,The Obelisk Gate,Fiction,N. K. Jemisin,Female,Hachette Book Group,Trade Paperback,2016-08-16,Orbit,"102,707","11,251"
9780544868137,Rebound,Poetry,Kwame Alexander,Male,Houghton Mifflin Co,Hardcover,2018-04-02,Clarion Books,"102,692","6,051"
9780743470988,Afterburn,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2005-10-04,Atria Books,"102,067",399
9780452265349,The Piano Lesson,Fiction,August Wilson,Female,Penguin Group Usa,Trade Paperback,1990-12-01,Plume Books,"101,682","4,234"
9781580911863,Sister Outsider: Essays and Speeches,Non-fiction,Audre Lorde,Female,Random House,Trade Paperback,2007-08-01,Crossing Press,"100,278","12,080"
9780593134047,"Four Hundred Souls: a Community History of African America, 1619-2019",Non-fiction,Ibram X. Kendi,Male,Random House,Hardcover,2021-02-02,One World,"99,617","99,617"
9780451211934,The Other Woman,Fiction,Eric Jerome Dickey,Male,Penguin Group Usa,Trade Paperback,2004-06-29,Dutton Books,"99,384",498
9780307587862,No Higher Honor: a Memoir of My Years In Washington,Non-fiction,Condoleezza Rice,Female,Random House,Hardcover,2011-11-01,Crown,"98,979",4
9780525564201,"My Sister, the Serial Killer",Fiction,Oyinkan Braithwaite,Female,Random House,Trade Paperback,2019-07-30,Anchor Books,"97,924","17,831"
9781984837493,Superheroes Are Everywhere,Non-fiction,Kamala Harris,Female,Penguin Group Usa,Hardcover,2019-01-08,Philomel Books,"97,630","36,954"
9781328780966,The Undefeated,Poetry,Kwame Alexander,Male,Houghton Mifflin Co,Hardcover,2019-04-02,Versify,"95,436","23,175"
9781101912195,We Are Never Meeting In Real Life.: Essays,Non-fiction,Samantha Irby,Female,Random House,Trade Paperback,2017-05-30,Vintage,"94,207","5,145"
9780446581684,True to the Game III,Fiction,Teri Woods,Female,Hachette Book Group,Trade Paperback,2008-07-02,Grand Central Publishing,"92,627",0
9780394713519,"Women, Race, & Class",Non-fiction,Angela Y. Davis,Female,Random House,Trade Paperback,1983-02-12,Vintage,"92,188","23,674"
9780316229241,The Stone Sky,Fiction,N. K. Jemisin,Female,Hachette Book Group,Trade Paperback,2017-08-15,Orbit,"91,153","9,737"
9780679738909,A Gathering of Old Men,Fiction,Ernest J. Gaines,Male,Random House,Trade Paperback,1992-06-30,Vintage,"90,811","1,255"
9780345806543,Go Tell It on the Mountain,Fiction,James Baldwin,Male,Random House,Mass Market Paperback,2013-09-12,Vintage,"89,980","12,740"
9781580056779,So You Want to Talk About Race,Non-fiction,Ijeoma Oluo,Female,Hachette Book Group,Hardcover,2018-01-16,Seal Press,"88,341","2,641"
9780812989342,Higher Is Waiting,Non-fiction,Tyler Perry,Male,Random House,Hardcover,2017-11-14,Random House,"87,909","5,032"
9781400066117,Mom & Me & Mom,Non-fiction,Maya Angelou,Female,Random House,Hardcover,2013-04-02,Random House,"87,686","1,283"
9780446581660,True to the Game II,Fiction,Teri Woods,Female,Hachette Book Group,Trade Paperback,2007-11-01,Grand Central Publishing,"86,703",0
9780439916257,Sunrise Over Fallujah,Fiction,Walter Dean Myers,Male,Scholastic Books,Trade Paperback,2009-04-01,Scholastic Press,"86,591","1,425"
9780743457040,Skyscraper,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2004-10-26,Atria Books,"86,097",544
9780062742469,Hidden Figures: the True Story of Four Black Women and the Space Race,Non-fiction,Margot Lee Shetterly,Female,Harpercollins Publishers,Hardcover,2018-01-16,Harpercollins,"85,968","18,343"
9781481438285,Look Both Ways: a Tale Told In Ten Blocks,Fiction,Jason Reynolds,Male,Simon & Schuster,Hardcover,2019-10-08,Atheneum,"85,465","7,717"
9780062937407,Kamala and Maya's Big Idea,Fiction,Meena Harris,Female,Harpercollins Publishers,Hardcover,2020-06-02,Balzer & Bray/Harperteen,"85,358","29,212"
9781400066018,Mother: a Cradle to Hold Me,Non-fiction,Maya Angelou,Female,Random House,Hardcover,2006-04-11,Random House,"85,313",396
9780307587879,"Extraordinary, Ordinary People: a Memoir of Family",Non-fiction,Condoleezza Rice,Female,Random House,Hardcover,2010-10-12,Crown Archetype,"85,165",2
9781400034291,The Dew Breaker,Fiction,Edwidge Danticat,Female,Random House,Trade Paperback,2005-03-08,Vintage,"85,100","1,612"
9781400078479,Love,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2005-01-04,Vintage,"84,149","1,326"
9780544570979,"The Playbook: 52 Rules to Aim, Shoot, and Score In This Game Called Life",Poetry,Kwame Alexander,Male,Houghton Mifflin Co,Hardcover,2017-02-14,Clarion Books,"84,018","5,813"
9780140348927,Let the Circle Be Unbroken,Fiction,Mildred D. Taylor,Female,Penguin Group Usa,Trade Paperback,1991-10-28,Puffin Books,"83,958",8
9781594632785,The Good Lord Bird,Fiction,James Mcbride,Male,Penguin Group Usa,Trade Paperback,2014-08-05,Riverhead Books,"83,827","10,081"
9780385527460,The Beautiful Struggle: a Memoir,Non-fiction,Ta-Nehisi Coates,Male,Random House,Trade Paperback,2009-01-06,Spiegel & Grau,"83,338","3,463"
9780062953803,"Hustle Harder, Hustle Smarter",Non-fiction,Curtis Jackson,Male,Harpercollins Publishers,Hardcover,2020-04-28,Amistad Press,"82,901","15,474"
9780310214595,Think Big: Unleashing Your Potential For Excellence,Non-fiction,Ben Carson,Male,Hc Christian Publishing,Mass Market Paperback,1996-12-01,Zondervan,"82,491",5
9781324003311,Letters from an Astrophysicist,Non-fiction,Neil Degrasse Tyson,Male,"Norton,ww",Hardcover,2019-10-08,W. W. Norton & Company,"82,213","5,765"
9781608465644,"Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement",Non-fiction,Angela Y. Davis,Female,Consortium Book Sales,Trade Paperback,2016-02-09,Haymarket Books,"82,010","11,239"
9780525563488,"Wow, No Thank You.: Essays",Non-fiction,Samantha Irby,Female,Random House,Trade Paperback,2020-03-31,Vintage,"80,954","13,830"
9780743480956,Shame on It All,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2003-05-20,Atria Books,"80,319",268
9780062662835,With the Fire on High,Fiction,Elizabeth Acevedo,Female,Harpercollins Publishers,Hardcover,2019-05-07,Quill Tree Books,"80,025","8,645"
9780446615884,Cane River,Fiction,Lalita Tademy,Female,Hachette Book Group,Mass Market Paperback,2005-02-01,Grand Central Publishing,"79,777",855
9781594203985,Swing Time,Fiction,Zadie Smith,Female,Penguin Group Usa,Hardcover,2016-11-15,Penguin Press,"79,690",70
9780525560548,Hood Feminism: Notes from the Women That a Movement Forgot,Non-fiction,Mikki Kendall,Female,Penguin Group Usa,Hardcover,2020-02-25,Viking,"79,645","13,451"
9780440422143,The Mighty Miss Malone,Fiction,Christopher Paul Curtis,Male,Random House,Trade Paperback,2013-03-12,Yearling B,"79,427","8,524"
9780307455918,The Thing Around Your Neck,Fiction,Chimamanda Ngozi Adichie,Female,Random House,Trade Paperback,2010-06-01,Anchor Books,"78,780","5,949"
9780735220171,"Black Leopard, Red Wolf",Fiction,Marlon James,Male,Penguin Group Usa,Hardcover,2019-02-05,Riverhead Books,"77,893",754
9780743442909,The Heat Seekers,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2003-05-01,Atria Books,"77,574",44
9781414338040,The Mentor Leader: Secrets to Building People and Teams That Win Consistently,Non-fiction,Tony Dungy,Male,Tyndale House Publishers Inc,Hardcover,2010-08-03,Tyndale Momentum,"76,587",120
9780062882769,Clap When You Land,Poetry,Elizabeth Acevedo,Female,Harpercollins Publishers,Hardcover,2020-05-05,Quill Tree Books,"76,501","27,532"
9780786808328,We Are the Ship: the Story of Negro League Baseball,Non-fiction,Kadir Nelson,Male,Hachette Book Group,Hardcover,2008-01-08,Little Brown Books For Young Readers,"75,674","4,066"
9781476797717,Walking With the Wind: a Memoir of the Movement,Non-fiction,John Lewis,Male,Simon & Schuster,Trade Paperback,2015-02-10,Simon & Schuster,"75,576","8,381"
9780525580065,Just Mercy (Adapted For Young Adults): a True Story of the Fight For Justice,Non-fiction,Bryan Stevenson,Male,Random House,Trade Paperback,2019-09-10,Ember,"75,288","24,764"
9780525434696,I Am Not Your Negro: a Companion Edition to the Documentary Film Directed By Raoul Peck,Non-fiction,James Baldwin,Male,Random House,Trade Paperback,2017-02-07,Vintage,"75,099","5,927"
9780735229860,Islandborn,Fiction,Diaz Junot,Male,Penguin Group Usa,Hardcover,2018-03-13,Dial Books,"74,511","9,910"
9781982160135,The Other Black Girl,Fiction,Zakiya Dalila Harris,Female,Simon & Schuster,Hardcover,2021-06-01,Atria Books,"74,314","74,314"
9780316527194,"The Broken Earth Trilogy: the Fifth Season, the Obelisk Gate, the Stone Sky",Fiction,N. K. Jemisin,Female,Hachette Book Group,Trade Paperback,2015-08-04,Orbit,"73,808","14,122"
9780316475136,"Think Big, Little One",Fiction,Vashti Harrison,Female,Hachette Book Group,Board Books,2019-10-01,Lb Kids,"73,482","23,274"
9780807006238,Notes of a Native Son,Fiction,James Baldwin,Male,Random House,Trade Paperback,2012-11-20,Beacon Press,"73,095","11,346"
9780393330168,Death By Black Hole: and Other Cosmic Quandaries,Non-fiction,Neil Degrasse Tyson,Male,"Norton,ww",Trade Paperback,2007-11-05,W. W. Norton & Company,"72,855",1
9781583225813,Are Prisons Obsolete?,Non-fiction,Angela Y. Davis,Female,Random House,Trade Paperback,2003-08-05,Seven Stories Press,"72,503","12,753"
9780679749868,Race Matters,Non-fiction,Cornel West,Male,Random House,Trade Paperback,1994-03-28,Vintage,"72,469",39
9780967224947,Dutch the First of a Trilogy,Fiction,Teri Woods,Female,Unsourced Publishers,Trade Paperback,2004-04-20,Teri Woods Publishing,"71,396",1
9780679764083,The Collected Poems of Langston Hughes,Poetry,Langston Hughes,Male,Random House,Trade Paperback,1995-10-31,Vintage,"71,354","4,399"
9780399184529,The Mothers,Fiction,Brit Bennett,Female,Penguin Group Usa,Trade Paperback,2017-10-10,Riverhead Books,"70,528","18,847"
9780553263572,The Autobiography of Miss Jane Pittman,Fiction,Ernest J. Gaines,Male,Random House,Mass Market Paperback,1982-07-01,Bantam,"70,058","1,484"
9781481450195,"Patina, 2",Fiction,Jason Reynolds,Male,Simon & Schuster,Trade Paperback,2018-10-23,Atheneum,"69,363","14,237"
9780062362599,Hunger: a Memoir of (My) Body,Non-fiction,Roxane Gay,Female,Harpercollins Publishers,Hardcover,2017-06-13,Harper,"69,312",454
9780802125088,The Yellow House: a Memoir (2019 National Book Award Winner),Non-fiction,Sarah M. Broom,Female,Pgw,Hardcover,2019-08-13,Grove Press,"69,229",865
9781501196027,Queenie,Fiction,Candice Carty-Williams,Female,Simon & Schuster,Trade Paperback,2019-11-05,Gallery/Scout Press,"69,085","13,185"
9780743297271,Caramel Flava: the Eroticanoir.Com Anthology,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2006-08-22,Atria Books,"67,805",119
9781400076215,Jazz,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2004-06-08,Vintage,"67,592","5,152"
9780679744719,Another Country,Fiction,James Baldwin,Male,Random House,Trade Paperback,1992-12-01,Vintage,"67,317","5,071"
9780684841342,One Day My Soul Just Opened Up: 40 Days and 40 Nights Toward Spiritual Strength and Personal Growth,Non-fiction,Iyanla Vanzant,Female,Simon & Schuster,Hardcover,1998-01-05,Atria Books,"67,257","3,767"
9780316475174,Little Dreamers: Visionary Women Around the World,Fiction,Vashti Harrison,Female,Hachette Book Group,Hardcover,2018-11-06,Little Brown Books For Young Readers,"66,611","12,184"
9780316509848,The City We Became,Fiction,N. K. Jemisin,Female,Hachette Book Group,Hardcover,2020-03-24,Orbit,"66,109","13,465"
9781534453494,"The Misadventures of Max Crumbly 3, 3: Masters of Mischief",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2019-06-04,Aladdin Paperbacks,"65,885","3,706"
9781984801883,The Donald J. Trump Presidential Twitter Library,Non-fiction,The Daily Show With Trevor Noah,Male,Random House,Hardcover,2018-07-31,Random House,"65,416",713
9780593243626,"You Are Your Best Thing: Vulnerability, Shame Resilience, and the Black Experience",Non-fiction,Tarana Burke,Female,Random House,Hardcover,2021-04-27,Random House,"65,096","65,096"
9780802143006,"Black Skin, White Masks",Non-fiction,Frantz Fanon,Male,Pgw,Trade Paperback,2008-01-01,Grove Press,"64,957","6,647"
9780307740922,God Help the Child,Fiction,Toni Morrison,Female,Random House,Trade Paperback,2016-01-26,Vintage,"64,699","2,523"
9781849353267,Pleasure Activism: the Politics of Feeling Good,Non-fiction,Adrienne Maree Brown,Female,Consortium Book Sales,Trade Paperback,2019-03-19,Ak Press,"64,628","11,334"
9780385512725,I Say a Little Prayer,Fiction,E. Lynn Harris,Male,Random House,Hardcover,2006-05-02,Doubleday Books,"64,465",0
9781883011529,James Baldwin: Collected Essays (Loa #98): Notes of a Native Son / Nobody Knows My Name / The Fire Next Time / No Name In the Street / The Devil Finds,Non-fiction,James Baldwin,Male,Penguin Group Usa,Hardcover,1998-02-01,Library of America,"64,416","9,009"
9780307956026,American Grown: the Story of the White House Kitchen Garden and Gardens Across America,Non-fiction,Michelle Obama,Female,Random House,Hardcover,2012-05-29,Crown,"64,256",439
9780807028346,We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom,Non-fiction,Bettina Love,Female,Random House,Trade Paperback,2020-02-04,Beacon Press,"64,160","29,384"
9780525434801,"Dear Ijeawele, or a Feminist Manifesto In Fifteen Suggestions",Non-fiction,Chimamanda Ngozi Adichie,Female,Random House,Trade Paperback,2018-05-01,Anchor Books,"64,092","6,538"
9780763647421,God's Dream,Non-fiction,Desmond Tutu,Male,Candlewick Press,Board Books,2010-01-26,Candlewick,"63,430","1,527"
9781400066100,Celebrations: Rituals of Peace and Prayer,Poetry,Maya Angelou,Female,Random House,Hardcover,2006-10-24,Random House,"63,045",114
9781368039932,Tristan Strong Punches a Hole In the Sky,Fiction,Kwame Mbalia,Male,Disney,Hardcover,2019-10-15,Rick Riordan Presents,"62,383","4,392"
9781250257703,"Our Time Is Now: Power, Purpose, and the Fight For a Fair America",Non-fiction,Stacey Abrams,Female,Macmillan,Hardcover,2020-06-09,Henry Holt,"62,278","16,310"
9781439148266,More of America's Most Wanted Recipes: More Than 200 Simple and Delicious Secret Restaurant Recipes--All For $10 or Less!,Non-fiction,Ron Douglas,Male,Simon & Schuster,Trade Paperback,2010-07-06,Atria Books,"61,989",219
9780064470667,Scorpions,Fiction,Walter Dean Myers,Male,Harpercollins Publishers,Trade Paperback,2013-05-28,Amistad Press,"61,791",568
9780812997873,The Complete Poetry,Poetry,Maya Angelou,Female,Random House,Hardcover,2015-03-31,Random House,"61,736","8,292"
9780671864163,Acts of Faith: Meditations For People of Color,Non-fiction,Iyanla Vanzant,Female,Simon & Schuster,Trade Paperback,1993-11-12,Atria Books,"61,533",0
9781524761738,Jubilee: Recipes from Two Centuries of African American Cooking: a Cookbook,Non-fiction,Toni Tipton-Martin,Female,Random House,Hardcover,2019-11-05,Clarkson N Potter Publishers,"61,440","17,863"
9780316492935,How the Word Is Passed: a Reckoning With the History of Slavery Across America,Non-fiction,Clint Smith,Male,Hachette Book Group,Hardcover,2021-06-01,"Little, Brown and Company","60,608","60,608"
9781101902578,I Almost Forgot About You,Fiction,Terry Mcmillan,Female,Random House,Hardcover,2016-06-07,Crown,"59,155",0
9780393064773,The Hemingses of Monticello: an American Family,Non-fiction,Annette Gordon-Reed,Female,"Norton,ww",Hardcover,2008-09-17,W. W. Norton & Company,"58,920",512
9780064472906,Shooter,Fiction,Walter Dean Myers,Male,Harpercollins Publishers,Trade Paperback,2005-03-29,Amistad Press,"58,531",201
9781593091651,Purple Panties: an Eroticanoir.Com Anthology,Fiction,Zane,Female,Simon & Schuster,Trade Paperback,2008-05-01,Strebor Books,"58,502",479
9780679728184,Selected Poems of Langston Hughes: a Classic Collection of Poems By a Master of American Verse,Poetry,Langston Hughes,Male,Random House,Trade Paperback,1990-09-12,Vintage,"58,181","2,897"
9781592406128,"I Beat the Odds: from Homelessness, to the Blind Side, and Beyond",Non-fiction,Michael Oher,Male,Penguin Group Usa,Hardcover,2011-02-08,Gotham Books,"58,009",1
9780446529310,How I Play Golf,Non-fiction,Tiger Woods,Male,Hachette Book Group,Hardcover,2001-10-09,Grand Central Publishing,"57,578","1,095"
9780743451796,"Devil In a Blue Dress, Volume 1: an Easy Rawlins Novel",Fiction,Walter Mosley,Male,Simon & Schuster,Trade Paperback,2002-09-17,Washington Square Press,"57,366",745
9780064461818,Harriet Tubman: Conductor on the Underground Railroad,Non-fiction,Ann Petry,Female,Harpercollins Publishers,Trade Paperback,2007-08-14,Amistad Press,"57,350",8
9780393356502,Astrophysics For Young People In a Hurry,Non-fiction,Neil Degrasse Tyson,Male,"Norton,ww",Trade Paperback,2019-02-05,Norton Young Readers,"57,212","7,804"
9780691157245,Welcome to the Universe: an Astrophysical Tour,Non-fiction,Neil Degrasse Tyson,Male,Princeton University Pr,Hardcover,2016-09-29,Princeton University Press,"57,020","1,057"
9780310259732,"Take the Risk: Learning to Identify, Choose, and Live With Acceptable Risk",Non-fiction,Ben Carson,Male,Hc Christian Publishing,Hardcover,2007-12-19,Zondervan,"56,584",40
9781501193255,Shook One: Anxiety Playing Tricks on Me,Non-fiction,Charlamagne Tha God,Female,Simon & Schuster,Hardcover,2018-10-23,Atria Books,"56,039",28
9780399590573,We Were Eight Years In Power: an American Tragedy,Non-fiction,Ta-Nehisi Coates,Male,Random House,Trade Paperback,2018-10-30,One World,"55,950","4,880"
9780553569070,Wouldn't Take Nothing For My Journey Now,Non-fiction,Maya Angelou,Female,Random House,Mass Market Paperback,1994-10-01,Bantam,"55,794","1,397"
9780142420911,Akata Witch,Fiction,Nnedi Okorafor,Female,Penguin Group Usa,Trade Paperback,2017-07-11,Speak,"55,770","7,565"
9780415908085,Teaching to Transgress: Education As the Practice of Freedom,Non-fiction,Bell Hooks,Female,Taylor & Francis Inc,Trade Paperback,1994-09-12,Routledge,"55,623","1,496"
9781401928223,Peace from Broken Pieces: How to Get Through What You're Going Through,Non-fiction,Iyanla Vanzant,Female,Random House,Hardcover,2010-11-15,Smileybooks,"55,573",0
9780310719120,Children of God Storybook Bible,Fiction,Desmond Tutu,Male,Hc Christian Publishing,Hardcover,2010-08-14,Zondervan,"55,423","2,320"
9781555975845,Life on Mars,Poetry,Tracy K. Smith,Female,Macmillan,Trade Paperback,2011-05-10,Graywolf Press,"54,503","2,810"
9781984823748,It's Not All Downhill from Here,Fiction,Terry Mcmillan,Female,Random House,Hardcover,2020-03-31,Ballantine Books,"54,377","7,533"
9780393064445,Accessory to War: the Unspoken Alliance Between Astrophysics and the Military,Non-fiction,Neil Degrasse Tyson,Male,"Norton,ww",Hardcover,2018-09-11,W. W. Norton & Company,"54,254",361
9780525521037,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations",Non-fiction,Toni Morrison,Female,Random House,Hardcover,2019-02-12,Knopf Publishing Group,"53,418","1,506"
9781626569768,The Body Is Not an Apology: the Power of Radical Self-Love,Non-fiction,Sonya Renee Taylor,Female,Random House,Trade Paperback,2018-02-13,Berrett-Koehler Publishers,"53,283",836
9781501125669,Heavy: an American Memoir,Non-fiction,Kiese Laymon,Male,Simon & Schuster,Trade Paperback,2019-03-05,Scribner Book Company,"53,022","9,617"
9780451208491,Thieves' Paradise,Fiction,Eric Jerome Dickey,Male,Penguin Group Usa,Mass Market Paperback,2003-04-22,Dutton Books,"50,928",0
9780451218490,Genevieve,Fiction,Eric Jerome Dickey,Male,Penguin Group Usa,Trade Paperback,2006-04-04,Dutton Books,"50,603",278
9780062996480,Punching the Air,Poetry,Ibi Zoboi,Female,Harpercollins Publishers,Hardcover,2020-09-01,Balzer & Bray/Harperteen,"50,289","21,310"
9780679767084,No Disrespect,Fiction,Sister Souljah,Female,Random House,Trade Paperback,1996-01-30,Vintage,"80,348","3,704"
9781416545361,"Midnight, 1: a Gangster Love Story",Fiction,Sister Souljah,Female,Simon & Schuster,Trade Paperback,2009-09-08,Atria Books,"106,812","12,969"
9781416521693,The Coldest Winter Ever,Fiction,Sister Souljah,Female,Simon & Schuster,Mass Market Paperback,2006-02-01,Pocket Star,"222,409",19
9781439165362,"Midnight and the Meaning of Love, 2",Fiction,Sister Souljah,Female,Simon & Schuster,Trade Paperback,2011-10-04,Atria Books,"54,967","7,285"
9781439165324,A Deeper Love Inside: the Porsche Santiaga Story,Fiction,Sister Souljah,Female,Simon & Schuster,Trade Paperback,2014-02-18,Atria Books,"138,472","30,491"
9781982139131,Life After Death,Fiction,Sister Souljah,Female,Simon & Schuster,Hardcover,2021-03-02,Atria Books,"218,669","218,669"
9780696230493,A Hand to Guide Me,Non-fiction,Denzel Washington,Male,Unsourced Publishers,Hardcover,2006-11-01,Meredith Corporation,"113,028",1
9781401303358,Not on Our Watch: the Mission to End Genocide In Darfur and Beyond,Non-fiction,Don Cheadle,Male,Hachette Book Group,Trade Paperback,2007-05-01,Hachette Books,"54,537",7
9780061357909,The Measure of a Man,Non-fiction,Sidney Poitier,Male,Harpercollins Publishers,Trade Paperback,2007-01-26,Harperone,"625,216",787
9780800697402,Strength to Love,Non-fiction,"Martin Luther, Jr. King",Male,Augsburg Fortress Pubs,Trade Paperback,2010-04-15,Fortress Press,"55,006","5,410"
9780375858871,I Have a Dream [with Cd (Audio)],Non-fiction,Martin Luther King,Male,Random House,Hardcover,2012-10-09,Schwartz & Wade Books,"55,348","6,160"
9780062505521,I Have a Dream - Special Anniversary Edition: Writings and Speeches That Changed the World,Non-fiction,Martin Luther King,Male,Harpercollins Publishers,Trade Paperback,2003-04-29,Harperone,"52,205","2,545"
9780060646912,A Testament of Hope: the Essential Writings and Speeches,Non-fiction,Martin Luther King,Male,Harpercollins Publishers,Trade Paperback,2003-04-29,Harperone,"56,703","3,794"
9780451527530,Why We Can't Wait,Non-fiction,Martin Luther King,Male,Penguin Group Usa,Mass Market Paperback,2000-01-01,Signet Book,"85,134","7,353"
9780807000670,Where Do We Go from Here: Chaos or Community?,Non-fiction,Martin Luther King,Male,Random House,Trade Paperback,2010-01-01,Beacon Press,"56,301","10,796"
